	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1	MASTER_WP4_FFoQSI_1
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_casei|t__SGB17127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.63663	4.50956	0.37127	1.72958	4.86815	2.89095	5.46066	11.56938	0.0	0.0	0.0	0.01615	0.0	0.0	0.0	0.0	2.4347	0.0	0.72589	3.6803	8.84817	1.67141	2.33112	17.03306	6.3653	0.9759	3.7398	0.92913	2.1662	2.57278	0.96081	1.05887	1.67403	3.66509	2.81215	4.03541	8.03157	16.4665	6.30938	6.80289	2.2903	1.21892	0.97499	1.92248	1.53105	2.20716	2.97709	3.21801	0.6788	0.56538	1.31823	4.72488	2.58713	3.17859	13.44213	20.00738	15.53166	12.08993	3.40951	4.27313	2.19012	1.43931
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_variabile|t__SGB17034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00046	0.03416	0.00408	0.00976	0.00144	0.00901	0.0	0.0	0.0	0.0	0.0	8e-05	0.0	0.0	0.02636	0.00218	0.01131	3.57307	0.31833	5.92426	10.89104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.99298	3.26839	7.84606	8.31453	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Ruoffia|s__Ruoffia_tabacinasalis|t__SGB25051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72411	0.604	0.0354	0.62046	1.18015	1.04855	0.46161	2.14375	0.0093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03648	0.0	0.11091	0.00308	0.00394	0.0	0.0	0.01058	0.0063	0.04356	0.18244	0.09489	0.0	0.0	0.0	0.00262	0.01108	0.03267	0.01246	0.25259	0.7784	0.35941	0.65225	0.43841	1.2762	0.0	0.0	0.07987	4.30756	0.00572	0.03299	0.00183	0.00095	0.01403	0.02782	0.00787	0.05131	0.0632	0.29786	1.74738	1.7258	0.53046	0.16386	0.70983	0.00698	0.00639
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae|g__GGB7989|s__GGB7989_SGB99142|t__SGB99142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011	0.0	0.01554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.78949	0.0	12.43124	0.0	0.0	0.0	0.00071	0.0	0.0	0.0	0.00061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02405	1.14364	0.07622	0.00729	0.0	0.96347	0.0	0.0	0.0	0.03927	0.02491	0.0	0.0	0.0	0.00016	0.0	0.0	0.3105	0.69225	0.0	0.01493	0.27659	0.43326	0.33694	1.75471	0.00092	0.0
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Arcobacteraceae|g__Malaciobacter|s__Malaciobacter_marinus|t__SGB19419	0.0	0.0	0.02435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae|g__Vreelandella|s__Vreelandella_alkaliphila|t__SGB11826	0.0	0.0	0.01668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas|s__Pseudoalteromonas_tetraodonis|t__SGB13896	0.0	0.0	0.05967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus|s__Proteus_vulgaris|t__SGB9993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00312	0.0	0.0	0.0	0.00304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00066	0.0	0.0	0.0002	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Bavariicoccus|s__Bavariicoccus_seileri|t__SGB29877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17499	0.0	0.0572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Providencia|s__Providencia_heimbachae|t__SGB10009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03065	0.05262	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Vagococcus|s__Vagococcus_fluvialis|t__SGB7918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__Agrococcus|s__Agrococcus_casei|t__SGB16940	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00021	0.16662	0.09086	0.09466	0.49686	0.25364	0.10134	1.33421	0.18591	0.0	0.0	0.0	0.03491	0.0	0.0	0.0	0.0	1.60971	0.0	2.48076	3.69307	2.17935	0.35372	0.73634	2.81422	3.56025	0.08021	0.05161	0.06258	0.0017	0.00559	0.09631	0.04136	5.70054	4.66825	0.46611	1.21557	2.28606	2.00179	9.52453	3.6954	4.54393	0.00166	0.0	0.02489	0.0139	0.00273	0.00282	0.01209	0.0	0.02325	0.00816	0.0	0.98035	1.46789	1.71727	3.54197	10.68355	2.17895	3.62816	4.46536	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Citricoccus|s__Citricoccus_SGB69233|t__SGB69233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05115	0.02408	0.0035	0.01494	0.00212	0.0	0.00318	0.00037	0.0	0.0	0.0	0.08846	0.0	0.00184	0.0	0.0	0.00019	0.0	0.00247	1.40091	1.47675	0.00054	0.00409	5.99139	7.18844	0.27468	0.1419	0.31185	0.00125	0.00593	0.50927	0.06571	2.54587	0.81064	0.00569	0.08684	0.19115	0.08643	0.10819	0.26745	1.65639	0.00708	0.00219	0.03838	0.0	0.0	0.0	0.0	0.0004	0.00416	0.00605	0.0	0.22307	0.14404	0.0	0.0	0.00266	0.0	3.2603	3.96203	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae|g__Ancrocorticia|s__Ancrocorticia_populi|t__SGB23979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01381	0.03697	0.0	0.04095	2.52506	2.57723	1.21663	5.48288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27072	0.02322	0.09954	0.06629	0.17245	0.05885	2.72597	2.74953	2.24801	1.06396	0.30751	0.67123	0.23374	0.18601	0.18835	0.02263	0.63309	0.12774	0.00186	0.58346	0.12753	0.1032	0.14701	0.14003	1.98798	1.91962	1.17292	2.74103	1.33671	0.6519	0.28911	0.01793	3.73691	1.19857	0.358	0.0	0.0	0.0	0.0	0.01879	0.06527	1.93988	1.08474
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__GGB129573|s__GGB129573_SGB66234|t__SGB66234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.96622	2.89576	1.16857	13.48445	11.52469	12.16289	11.17649	5.41037	0.0	0.0	0.0	0.10096	0.0	0.00138	0.0	0.0	1.58264	0.0	3.29181	19.43431	18.93556	0.45418	0.45842	21.40243	31.89303	11.80847	7.48714	12.33785	40.75462	30.04317	6.50991	2.62149	24.2831	27.84959	17.06971	10.93814	23.76824	22.68385	7.28774	10.78476	0.7662	10.54892	27.72397	4.81564	0.19693	13.20117	4.08895	4.61613	0.55553	0.30133	0.52953	1.3187	26.4556	20.05108	1.21846	5.03288	17.56774	10.85846	0.5362	1.01678	30.93693	21.03508
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Garicola|s__Garicola_SGB98753|t__SGB98753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.34283	0.39718	2.07559	3.61887	4.29245	2.64477	3.29778	0.16049	0.0	0.0	0.0	0.01764	0.0	0.0	0.0	0.0	0.63363	0.0	1.66987	3.3238	2.52518	7.95805	8.09036	6.42701	3.3311	3.57293	9.78778	12.20679	22.31366	29.34543	4.88324	7.03015	1.89198	2.61343	3.20295	0.07653	0.00281	0.00163	0.04253	0.03768	1.28017	11.69518	9.40432	0.45495	4.88421	14.69208	8.39059	15.48445	4.66851	0.58138	0.64346	4.1934	7.19942	4.67933	0.0	0.0	0.0	0.0	1.5866	1.45127	12.63233	15.00499
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_SGB98807|t__SGB98807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9347	0.9472	1.09147	0.63868	0.39564	2.21669	1.26125	0.30883	0.0	0.0	0.0	0.00535	0.0	0.0	0.0	0.0	0.07742	0.0	0.28112	0.28743	0.3981	13.72788	9.47524	1.88608	1.46388	13.17188	9.82682	11.52968	6.15038	6.51234	10.05912	4.16016	0.73103	1.60336	8.67055	0.30008	8e-05	0.0	0.01185	0.05311	3.87169	3.19098	2.9333	0.80039	5.01239	4.67243	2.91222	11.11427	8.23586	1.63988	1.66733	10.69969	0.09938	0.23892	0.0	0.0	0.0	0.0	5.45013	3.57418	3.84588	5.1962
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales|f__Streptomycetaceae|g__GGB64727|s__GGB64727_SGB98928|t__SGB98928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00953	0.02064	30.28643	8.76029	0.20109	0.4784	0.0	0.0	0.0	0.04924	0.02469	0.00333	0.00821	0.0	0.00019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72528	0.9868	0.00156	0.03536	0.5168	0.11686	3.68111	4.64451	0.0041	0.01015	4.2441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30862	0.47487
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Microbacteriaceae|g__GGB74290|s__GGB74290_SGB99069|t__SGB99069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.42175	2.80718	3.1045	4.99443	0.90748	0.87616	1.85757	0.77311	0.0	0.0	0.0	0.00463	0.0	0.0	0.0	0.0	0.28692	0.0	2.41569	3.33681	6.88425	0.10829	0.16993	0.60019	1.98799	1.23895	0.0994	0.75573	0.03459	0.03105	0.10521	0.14052	9.67184	9.19367	0.04335	0.12748	0.33392	0.6174	4.12262	3.17403	0.02743	0.03734	0.00407	0.03711	0.0	0.08472	0.0	0.0	0.0	0.0	0.0	0.0	1.87702	3.62279	0.00231	0.016	0.00276	0.0	0.02609	0.02419	0.03268	0.04307
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__GGB48227|s__GGB48227_SGB69236|t__SGB69236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00303	0.0	0.0	0.0	0.0	0.0023	0.0021	0.00086	0.0003	0.00575	0.0	0.0	0.01137	0.01007	0.0	0.0	0.0	0.0	0.0	0.00715	0.05808	0.00158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00559	0.01222	0.00029	0.00073
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_yomogidense|t__SGB16632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.42988	13.31433	2.25736	7.19957	0.92013	1.25922	1.56877	0.44436	0.0	0.0	0.0	0.03666	0.0	0.0	0.0	0.0	0.00988	0.0	0.11271	3.18999	2.47228	0.27551	0.9148	3.46514	5.32076	7.2631	5.34743	14.15483	1.22597	0.96348	0.47276	0.33184	13.46847	8.97372	4.106	8.81778	4.94358	0.23724	2.27077	2.96899	7.68895	0.14353	0.9057	0.25169	3.23479	5.15765	0.59086	1.89751	1.2684	2.55724	1.0855	3.35423	8.19433	2.34007	0.93745	0.70939	1.4869	0.35223	16.78922	10.04593	6.73166	7.48344
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Advenella|s__Advenella_sp_FME57|t__SGB22915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00288	0.0	0.02427	0.00207	0.0045	0.00247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00216	1.43299	1.27507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae|g__GGB52421|s__GGB52421_SGB73284|t__SGB73284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09964	0.33777	0.18724	0.25509	0.08605	0.27584	0.0185	0.00067	0.00389	0.00565	0.01188	0.00729	0.00197	0.51956	0.9998	1.14272	0.47163	0.0	0.0	0.0	0.0	0.00974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30688	0.23897	0.00283	0.00891	0.0	0.0	0.02179	0.04425	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Tetragenococcus|s__Tetragenococcus_koreensis|t__SGB29882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28983	1.34263	0.0	4.49505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61689	0.94484	0.07249	0.0064	0.00071	0.09364	0.84906	0.44715	0.05952	0.40392	0.19258	0.00586	0.02339	0.18919	0.11052	0.01192	0.48923	0.0	0.0	0.00651	0.0	0.0	0.04504	0.62271	6.35216	1.79046	0.02895	0.72539	0.29683	1.20092	0.73703	1.65845	0.78449	0.00109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03431	0.03679
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Ruaniaceae|g__Ruania|s__Ruania_SGB99014|t__SGB99014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64452	0.75212	2.10611	4.00595	3.62394	0.69379	6.77566	0.23479	0.0	0.0	0.0	0.00148	0.0	0.0	0.0	0.0	0.01134	0.0	0.14131	0.46463	0.60368	0.34634	0.2168	0.05882	0.10343	3.12176	3.72752	1.81836	0.05222	0.10391	0.74066	0.25507	2.13512	2.47932	0.30895	0.0724	0.04251	0.00966	3.36265	1.34769	0.14401	5.8464	0.87315	0.01536	1.45328	4.85183	1.75821	17.33268	10.53009	0.0213	0.03561	10.52753	7.12816	12.12794	0.0	0.0	0.0	0.0	0.08798	0.11089	2.05259	2.29279
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales|f__Streptomycetaceae|g__GGB10128|s__GGB10128_SGB98950|t__SGB98950	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41275	0.21121	0.60658	1.46411	0.36286	0.28154	0.60084	0.10536	0.0	0.0	0.0	0.00889	0.0	0.0	0.0	0.0	0.00883	0.0	0.29937	0.28729	0.28156	0.2149	0.37354	0.17577	0.27965	5.79325	2.42481	3.91302	0.21307	0.21935	0.23837	0.08266	3.58084	3.47553	0.34984	0.11353	0.01399	0.0	0.54422	0.37451	0.57698	0.24718	0.21391	0.07924	0.40096	1.22933	0.93625	13.59783	1.75051	0.03866	0.07112	3.93634	1.97234	1.06634	0.00251	0.0205	0.58311	0.01615	0.31339	0.39038	0.91922	1.19372
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Advenella|s__Advenella_sp_S44|t__SGB11983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00073	0.0	0.05936	0.00044	0.0314	0.00265	0.00429	0.00917	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04237	0.0	0.01752	0.11184	0.10824	0.0	0.0	0.0	0.00196	0.03864	0.04526	0.01196	0.0	0.0	0.01803	0.01103	0.07793	0.0124	0.0	0.0	0.0	0.00239	0.95035	1.48011	0.00453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00412	0.08396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__GGB49493|s__GGB49493_SGB69432|t__SGB69432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00084	0.15112	0.09269	0.42777	0.47552	0.24789	0.09769	0.19376	0.34662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.69788	0.0	0.78415	0.02603	0.03561	0.0	0.00039	0.0211	0.0601	0.0	0.00486	0.0049	0.0	0.0	0.0	0.00663	0.25556	0.07152	0.0	7e-05	0.09473	1.2167	2.23426	3.42056	0.63322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14157	1.75454	0.0	0.0	0.06784	0.0	0.02237	0.13774	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__GGB42949|s__GGB42949_SGB60172|t__SGB60172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.32661	33.55825	1.6903	7.44517	5.71726	22.76932	0.39619	11.59888	0.0	0.0	0.0	0.00259	0.0	0.0	0.0	0.0	1.15026	0.0	0.77071	0.82851	0.47106	26.40929	36.35623	6.74797	1.9365	13.61016	15.68332	6.06173	5.17179	3.24911	33.46562	48.71995	0.88334	0.85481	21.92975	31.01799	0.0	0.0	9.15333	12.80555	28.35098	7.74522	12.52905	0.3928	0.9893	15.25625	49.17177	3.68499	22.76674	55.4525	61.26857	10.70998	2.7834	0.70574	10.01396	0.08427	0.0	0.0003	19.55474	16.62718	7.46416	9.33681
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Kitasatosporales|f__Streptomycetaceae|g__GGB64727|s__GGB64727_SGB98929|t__SGB98929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00711	0.0013	0.04967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00413	0.0	0.0	0.42998	0.09269	0.0286	0.00366	0.01756	0.51397	0.06334	1.72691	3.97995	0.08411	0.03758	0.00264	0.00371	0.008	0.001	0.0	0.0	0.00034	0.0	0.01872	0.15226	0.05013	0.00035	0.02071	0.12107	0.11749	0.27295	0.07454	0.00044	0.00072	0.11636	0.01373	0.01026	0.0	0.0	0.0	0.0	0.00979	0.01099	0.04679	0.06363
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_sp_S111|t__SGB34830	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.89887	2.76568	2.06631	5.38068	8.37044	6.46795	2.31683	16.25081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02891	0.0	0.05296	0.20502	0.57137	0.71464	2.76831	0.31332	0.48235	1.98839	5.42978	6.52534	2.36931	2.44021	0.1893	0.85	0.3436	0.54764	0.33394	0.64693	0.02298	0.06486	0.18735	0.25442	0.23512	9.99247	14.05933	0.30415	2.96325	4.52177	0.64195	3.39938	6.30061	1.00784	1.01095	3.27768	0.04841	0.12942	0.0	0.0	0.0	0.0	0.16796	0.10342	4.3539	6.78701
