sample	LeechJ_xxxx__AF94	LeechJ_xxxx__AF93	LeechJ_xxxx__AF92	LeechJ_xxxx__AF91	LeechJ_xxxx__AF89	LeechJ_xxxx__AF88	LeechJ_xxxx__AF87	LeechJ_xxxx__AF86	LeechJ_xxxx__AF84	LeechJ_xxxx__AF83	LeechJ_xxxx__AF82	LeechJ_xxxx__AF81	LeechJ_xxxx__AF80	LeechJ_xxxx__AF78	LeechJ_xxxx__AF77	LeechJ_xxxx__AF76	LeechJ_xxxx__AF74	LeechJ_xxxx__AF73	LeechJ_xxxx__AF72	LeechJ_xxxx__AF71	LeechJ_xxxx__AF70	LeechJ_xxxx__AF69	LeechJ_xxxx__AF68	LeechJ_xxxx__AF67	LeechJ_xxxx__AF66	LeechJ_xxxx__AF65	LeechJ_xxxx__AF64	LeechJ_xxxx__AF63	LeechJ_xxxx__AF62	LeechJ_xxxx__AF61	LeechJ_xxxx__AF60	LeechJ_xxxx__AF59	LeechJ_xxxx__AF58	LeechJ_xxxx__AF57	LeechJ_xxxx__AF56	LeechJ_xxxx__AF55	LeechJ_xxxx__AF54	LeechJ_xxxx__AF53	LeechJ_xxxx__AF52	LeechJ_xxxx__AF51	LeechJ_xxxx__AF50	LeechJ_xxxx__AF49	LeechJ_xxxx__AF48	LeechJ_xxxx__AF47	LeechJ_xxxx__AF46	LeechJ_xxxx__AF45	LeechJ_xxxx__AF44	LeechJ_xxxx__AF43	LeechJ_xxxx__AF42	LeechJ_xxxx__AF41	LeechJ_xxxx__AF40	LeechJ_xxxx__AF39	LeechJ_xxxx__AF38	LeechJ_xxxx__AF37	LeechJ_xxxx__AF35	LeechJ_xxxx__AF34	LeechJ_xxxx__AF33	LeechJ_xxxx__AF32	LeechJ_xxxx__AF31	LeechJ_xxxx__AF30	LeechJ_xxxx__AF29	LeechJ_xxxx__AF28	LeechJ_xxxx__AF27	LeechJ_xxxx__AF26	LeechJ_xxxx__AF25	LeechJ_xxxx__AF24	LeechJ_xxxx__AF23	LeechJ_xxxx__AF22	LeechJ_xxxx__AF21	LeechJ_xxxx__AF20	LeechJ_xxxx__AF19	LeechJ_xxxx__AF18	LeechJ_xxxx__AF17	LeechJ_xxxx__AF16	LeechJ_xxxx__AF15	LeechJ_xxxx__AF14	LeechJ_xxxx__AF12	LeechJ_xxxx__AF11	LeechJ_xxxx__AF10	LeechJ_xxxx__AF09	LeechJ_xxxx__AF08	LeechJ_xxxx__AF06	LeechJ_xxxx__AF05	LeechJ_xxxx__AF04	LeechJ_xxxx__AF03	LeechJ_xxxx__AF02	LeechJ_xxxx__AF01
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_farraginis|t__SGB7215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	1.8493	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_hilgardii|t__SGB7216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16473	0	1.24342	0.0	0	0.0	0.0	0	0.0	0	0.0	0.00799	0.01008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10813	0.0	0.25678	0.0	0.19076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11075	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_kribbianus|t__SGB80454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_parabuchneri|t__SGB7217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15528	0	0.13014	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_parafarraginis|t__SGB7214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.00989	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_senioris|t__SGB7227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.78487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_SGB48612|t__SGB48612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	54.32336	0	0.64476	0.0	0	0.0	0	0.0	0.0144	0.0	0.0	0.03043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10745	0.0	0.04082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.80548	0.05471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_citreum|t__SGB7122	0.0	0.0	0.0	0.0	0.08419	0.0	0.0	0.0	0.11571	0	0.0	0.08776	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.01151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.77469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01703	0.42505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_fallax|t__SGB29566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.88295	0	1.28983	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.09773	0.43008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71713	0.73025	0.03695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.45793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12494	0.0	0.0261	0.0	0.0213	0.0	0.0	0.01224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.44987	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_gelidum|t__SGB7127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_holzapfelii|t__SGB80438	0.0	0.0	0.0	0.0	0.30735	0.0	0.0	0.00436	0.0	0	0.0	5.85894	0	0.0	0.0	0	0.0	0	0.0	0.10845	0.03215	0.0	0.0	0.0	0.05075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1743	0.0	0.06536	0.0	0.0	0.0	0.0	0.0	0.0	0.00584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01431	0.0	0.3547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16807	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_lactis|t__SGB7121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.56136	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.36987	0.00236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_litchii|t__SGB80437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_mesenteroides|t__SGB7126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_pseudomesenteroides|t__SGB69408	0.0	0.0	0.0	0.0	0.01037	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0	0.05364	0.15521	0.0962	1.71724	0.0	0.0	0.07471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45477	0.00585	0.5286	0.0	0.03457	0.0	0.0	0.0	0.0	0.0	0.0	0.18593	0.0	0.0	0.0	0.0	0.0	24.58682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3747	0.36551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10078	0.1788	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_pseudomesenteroides|t__SGB7124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22322	0	0.01536	0.0	0	0.0	0.0	0	12.26414	0	0.0	0.09043	0.21255	3.03397	0.0	0.0	1.61054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10327	0.37583	0.0	0.01889	0.0	0.0	0.0	0.0	0.0	0.0	0.18545	0.0	0.0	0.0	0.0	0.0	1.23836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1508	0.06105	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_suionicum|t__SGB7125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0174	0	0.00193	0.0	0	0.0	0.0	0	77.41227	0	0.0	0.00105	0.01981	0.64742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.12774	0.0	0.75247	0.0	0.04367	0.0	0.0	0.0	0.0	0.0	0.0	10.71838	0.0	0.0	0.0	0.0	0.9472	50.72478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03614	0.0	1.56576	0.0	1.16887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04672	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_brevis|t__SGB7196_group	0.0	0.0	0.0	0.0	7.95077	0.0	0.0	0.0	0.65039	0	0.27018	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	33.9755	0.0	0.53528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16973	7.87634	0.0	0.0	0.0	0.08719	0.0	0.0	0.0	0.0	0.0	0.11029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03647	0.0	0.0	0.0	0.0	0.0129	0.0	0.0	0.0	0.00755	0.0	1.58261	0.0	39.29809	0.0	0.0	0.0	0.0	0.0	0.0	10.49529	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_spicheri|t__SGB7190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00638	0	0.0	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.00217	0.01044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_zymae|t__SGB7188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22881	0	0.11342	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.04532	0.03023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus_agilis|t__SGB7081	0.0	0.0	0.0	0.0	0.0	0.01623	0.01961	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05853	0.0	0.0	0.28103	0.0	0.0	0.0	0.0	0.09895	0.0	0.0	0.0	0.21243	0.0	0.0	0.0	0.0	0.0	0.0	0.03571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.04874	0.0	0.0	2.33888	0.06945	0.0	0.0	0.0	0.0	0.0	0.0	1.24863	0.0	0.0	0.0	0.0	1.59621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus_animalis|t__SGB7076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus_pobuzihii|t__SGB94452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus|s__Ligilactobacillus_salivarius|t__SGB7082_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0	0.02663	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11713	0.0	0.0	0.0	0.0	0.0	0.0	0.04183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.37648	0.0	0.0	2.27063	2.30409	0.0	0.0	0.0	0.0	0.0	0.0	0.15847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Lactobacillus_timonensis|t__SGB29591	0.0	0.0	0.0	0.07708	0.0	0.4783	0.60381	0.0	0.00215	0	0.27385	0.0	0	0.0	0.0	0	0.0	0	0.0	0.01767	0.16034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22335	0.0	0.11763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08416	0.0	0.0	0.0	0.0	0.00366	0.0	0.0	0.0	0.0	0.22569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_coleohominis|t__SGB7101	0.0	0.0	0.0	0.0	0.0	0.66142	0.83775	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0	0.0	0.01117	0.07497	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24968	0.0	0.22995	0.0	0.0	0.0	0.0	0.17943	0.0	0.08506	0.0	0.0	0.17802	0.0	0.0	0.0	0.0	0.0	0.0	0.05376	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_fermentum|t__SGB7106	0.00951	0.15287	0.37233	3.07977	8.24815	52.74853	51.30096	0.00991	27.29493	0	0.77601	4.28506	0	5.95891	0.98582	0	0.0	0	63.5607	46.25131	41.50177	32.19567	16.62243	29.53053	6.19459	1.03389	5.88877	0.0	7.00966	0.0	0.0	0.0	0.0	0.03052	0.0	6.88643	3.33386	7.25496	0.0	1.10795	0.0	5.9504	0.0	0.12924	4.20916	0.17433	4.37111	0.15959	0.09044	0.06932	0.0	20.41313	13.77473	11.16655	3.38322	0.0	44.88362	0.03816	69.10964	0.0	21.36764	0.85749	0.0	11.18565	17.87135	0.0	1.77338	9.1601	1.34021	55.1228	1.10976	8.03717	0.0	35.16583	0.0	0.0	11.22347	0.0	0.0	0.0	0.0	0.0	2.11544	44.81585	0.14107	1.37852	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_frumenti|t__SGB7099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.856	0.0	0	0.00976	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0115	0.0	0.0	0.0	0.0	0.16245	0.0	0.0	0.0	0.0	0.12786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_mucosae|t__SGB7088_group	0.0	0.0	0.0	0.0	0.0	0.00126	0.0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1048	0.0	0.06636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
